Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2019,State,05,Arkansas,All,216081,4999626,4.32,-3.12,-0.88,8129,3.76,-0.34,-1.05
2019,State,05,Arkansas,FFS,203686,4251848,4.79,-2.65,-0.41,7713,3.79,-0.31,-1.02
2019,State,05,Arkansas,MC,12395,747778,1.66,"","",416,3.36,"",""
2019,State,06,California,All,2760295,86344996,3.2,-3.12,-0.58,173985,6.3,-0.07,-0.18
2019,State,06,California,FFS,672787,22741948,2.96,-2.77,-0.51,60090,8.93,0.4,-0.01
2019,State,06,California,MC,2087508,63603048,3.28,-3.43,-0.61,113895,5.46,0.31,-0.21
2019,State,08,Colorado,All,419272,7572735,5.54,-5.56,-1.14,38808,9.26,1.03,0.01
2019,State,08,Colorado,FFS,397709,7064295,5.63,-5.47,-1.12,36970,9.3,1.07,0
2019,State,08,Colorado,MC,21563,508440,4.24,"",-1.25,1838,8.52,"",0.19
2019,State,09,Connecticut,All,294479,9252048,3.18,-3.56,-0.34,22998,7.81,-1.7,0.81
2019,State,09,Connecticut,FFS,294479,9252048,3.18,-3.56,-0.34,22998,7.81,-1.7,0.81
2019,State,09,Connecticut,MC,0,0,"","","",0,"","",""
2019,State,10,Delaware,All,90208,2786630,3.24,-4.65,-0.9,14353,15.91,-0.96,-0.72
2019,State,10,Delaware,FFS,1042,58798,1.77,-6.74,-0.15,45,4.32,-12.55,1.64
2019,State,10,Delaware,MC,89166,2727832,3.27,3.27,-0.93,14308,16.05,"",-0.77
2019,State,11,"District of Columbia",All,59206,2132877,2.78,-2.33,-0.57,2366,4,-1.26,-0.23
2019,State,11,"District of Columbia",FFS,25360,854759,2.97,-2.62,-0.28,1679,6.62,-2.67,-0.84
2019,State,11,"District of Columbia",MC,33846,1278118,2.65,-2.15,-0.77,687,2.03,-0.27,0
2019,State,12,Florida,All,690384,26651687,2.59,-2.91,-0.58,49310,7.14,-1.22,0.08
2019,State,12,Florida,FFS,20323,1502320,1.35,-3.34,0.01,1666,8.2,0.95,1.07
2019,State,12,Florida,MC,670061,25149367,2.66,-3.32,-0.68,47644,7.11,-1.77,0.05
2019,State,13,Georgia,All,596582,15438201,3.86,-2.8,-0.53,35192,5.9,0.93,-0.08
2019,State,13,Georgia,FFS,350090,7038485,4.97,-2.56,-0.48,30625,8.75,1.29,-0.42
2019,State,13,Georgia,MC,246492,8399716,2.93,-2.93,-0.59,4567,1.85,-0.17,-0.1
2019,State,15,Hawaii,All,86115,2204680,3.91,-3.48,-0.68,7898,9.17,-1.71,-1.25
2019,State,15,Hawaii,FFS,674,4891,13.78,"","",0,0,"",""
2019,State,15,Hawaii,MC,85441,2199789,3.88,"","",7898,9.24,"",""
2019,State,16,Idaho,All,84108,2322973,3.62,-4.25,-0.49,6667,7.93,-1.33,-0.57
2019,State,16,Idaho,FFS,84108,2322973,3.62,-4.25,-0.49,6667,7.93,-1.33,-0.57
2019,State,16,Idaho,MC,0,0,"","","",0,"","",""
2019,State,17,Illinois,All,816415,24662093,3.31,-2.73,-0.49,26261,3.22,-0.47,-0.12
2019,State,17,Illinois,FFS,45095,2255280,2,-4.24,-1.1,1281,2.84,-0.51,-0.42
2019,State,17,Illinois,MC,771320,22406813,3.44,-2.07,-0.5,24980,3.24,-1.46,-0.11
2019,State,18,Indiana,All,544482,14856323,3.67,-4.4,-0.48,31333,5.75,-2.08,-0.19
2019,State,18,Indiana,FFS,47209,2047599,2.31,-5.9,-0.03,3930,8.32,0.49,-1.79
2019,State,18,Indiana,MC,497273,12808724,3.88,3.73,-0.52,27403,5.51,5.51,-0.11
2019,State,19,Iowa,All,222389,4665744,4.77,-1.75,0.2,117879,53.01,46.68,14.77
2019,State,19,Iowa,FFS,9488,191448,4.96,"",0.54,3657,38.54,"",24.63
2019,State,19,Iowa,MC,212901,4474296,4.76,"",0.18,114222,53.65,"",13.74
2019,State,20,Kansas,All,106495,3218036,3.31,-4.04,-1.22,8228,7.73,-2.35,-1.77
2019,State,20,Kansas,FFS,311,19410,1.6,-0.77,0.14,16,5.14,-2.74,-5.74
2019,State,20,Kansas,MC,106184,3198626,3.32,-4.04,-1.23,8212,7.73,-2.35,-1.77
2019,State,21,Kentucky,All,662996,22211134,2.99,-2.03,-0.55,18036,2.72,-2.15,-0.32
2019,State,21,Kentucky,FFS,10839,802763,1.35,-1.19,-0.84,665,6.14,-8.01,-0.29
2019,State,21,Kentucky,MC,652157,21408371,3.05,-2.23,-0.54,17371,2.66,-1.73,-0.31
2019,State,22,Louisiana,All,619940,19038465,3.26,-3.16,-0.64,14330,2.31,-0.93,0.2
2019,State,22,Louisiana,FFS,7480,768902,0.97,-4.29,-0.15,664,8.88,5.35,-1.9
2019,State,22,Louisiana,MC,612460,18269563,3.35,-4.23,-0.67,13666,2.23,-0.81,0.24
2019,State,23,Maine,All,71943,2109869,3.41,-2.96,-0.36,10105,14.05,1.56,-1.2
2019,State,23,Maine,FFS,71943,2109869,3.41,-2.96,-0.36,10105,14.05,1.56,-1.2
2019,State,23,Maine,MC,0,0,"","","",0,"","",""
2019,State,24,Maryland,All,517087,13666287,3.78,-3.46,-0.52,53606,10.37,0.46,-0.37
2019,State,24,Maryland,FFS,24001,4537247,0.53,-1.13,-0.11,2782,11.59,-2.21,0.29
